,Strike Price,Expiry Date,Underlying,Open Interest,Change in OI,Pct Change in OI,Traded Volume,IV,Last Price
6,28600,07-Jul-2022,BANKNIFTY,13,0,0.0,12,0.0,4780.0
12,28700,07-Jul-2022,BANKNIFTY,0,0,0.0,0,0.0,0.0
21,28800,07-Jul-2022,BANKNIFTY,0,0,0.0,0,0.0,0.0
23,28900,07-Jul-2022,BANKNIFTY,0,0,0.0,0,0.0,0.0
30,29000,07-Jul-2022,BANKNIFTY,0,0,0.0,0,0.0,0.0
37,29100,07-Jul-2022,BANKNIFTY,0,0,0.0,0,0.0,0.0
43,29200,07-Jul-2022,BANKNIFTY,0,0,0.0,0,0.0,0.0
49,29300,07-Jul-2022,BANKNIFTY,0,0,0.0,0,0.0,0.0
56,29400,07-Jul-2022,BANKNIFTY,0,0,0.0,0,0.0,0.0
62,29500,07-Jul-2022,BANKNIFTY,1,0,0.0,0,0.0,0.0
68,29600,07-Jul-2022,BANKNIFTY,0,0,0.0,0,0.0,0.0
74,29700,07-Jul-2022,BANKNIFTY,0,0,0.0,0,0.0,0.0
79,29800,07-Jul-2022,BANKNIFTY,0,0,0.0,0,0.0,0.0
87,29900,07-Jul-2022,BANKNIFTY,0,0,0.0,0,0.0,0.0
93,30000,07-Jul-2022,BANKNIFTY,1,0,0.0,0,0.0,0.0
99,30100,07-Jul-2022,BANKNIFTY,0,0,0.0,0,0.0,0.0
105,30200,07-Jul-2022,BANKNIFTY,0,0,0.0,0,0.0,0.0
111,30300,07-Jul-2022,BANKNIFTY,0,0,0.0,0,0.0,0.0
117,30400,07-Jul-2022,BANKNIFTY,0,0,0.0,0,0.0,0.0
122,30500,07-Jul-2022,BANKNIFTY,2,0,0.0,0,0.0,0.0
130,30600,07-Jul-2022,BANKNIFTY,0,0,0.0,0,0.0,0.0
131,30700,07-Jul-2022,BANKNIFTY,0,0,0.0,0,0.0,0.0
141,30800,07-Jul-2022,BANKNIFTY,0,0,0.0,0,0.0,0.0
146,30900,07-Jul-2022,BANKNIFTY,2,2,0.0,4,0.0,2447.1
154,31000,07-Jul-2022,BANKNIFTY,37,0,0.0,2,0.0,2433.0
155,31100,07-Jul-2022,BANKNIFTY,0,0,0.0,0,0.0,0.0
166,31200,07-Jul-2022,BANKNIFTY,2,2,0.0,4,0.0,2120.25
167,31300,07-Jul-2022,BANKNIFTY,0,0,0.0,0,0.0,0.0
178,31400,07-Jul-2022,BANKNIFTY,2,2,0.0,4,0.0,1964.95
179,31500,07-Jul-2022,BANKNIFTY,82,-1,-1.2048192771084338,31,0.0,1984.4
190,31600,07-Jul-2022,BANKNIFTY,5,2,66.66666666666667,9,0.0,1730.1
196,31700,07-Jul-2022,BANKNIFTY,4,2,100.0,4,0.0,1724.6
202,31800,07-Jul-2022,BANKNIFTY,4,1,33.333333333333336,10,0.0,1703.4
208,31900,07-Jul-2022,BANKNIFTY,5,0,0.0,5,0.0,1618.7
213,32000,07-Jul-2022,BANKNIFTY,549,302,122.2672064777328,671,14.63,1485.85
221,32100,07-Jul-2022,BANKNIFTY,7,0,0.0,8,0.0,1450.0
222,32200,07-Jul-2022,BANKNIFTY,13,2,18.181818181818183,4,8.5,1240.15
231,32300,07-Jul-2022,BANKNIFTY,16,0,0.0,0,0.0,0.0
239,32400,07-Jul-2022,BANKNIFTY,51,1,2.0,6,19.89,1110.0
240,32500,07-Jul-2022,BANKNIFTY,1105,849,331.640625,2067,22.84,1053.25
247,32600,07-Jul-2022,BANKNIFTY,93,29,45.3125,60,22.44,1019.85
253,32700,07-Jul-2022,BANKNIFTY,154,106,220.83333333333334,339,22.28,929.05
259,32800,07-Jul-2022,BANKNIFTY,281,116,70.3030303030303,528,22.75,856.65
265,32900,07-Jul-2022,BANKNIFTY,142,58,69.04761904761905,469,22.69,780.0
279,33000,07-Jul-2022,BANKNIFTY,4746,2295,93.63525091799265,17565,22.82,693.9
285,33100,07-Jul-2022,BANKNIFTY,787,644,450.34965034965035,4400,22.87,639.85
290,33200,07-Jul-2022,BANKNIFTY,2604,2368,1003.3898305084746,19181,22.8,571.5
292,33300,07-Jul-2022,BANKNIFTY,4326,3791,708.5981308411215,34936,22.86,518.65
303,33400,07-Jul-2022,BANKNIFTY,2813,2158,329.46564885496184,16812,22.77,463.05
304,33500,07-Jul-2022,BANKNIFTY,8872,1764,24.81710748452448,41031,22.71,412.75
316,33600,07-Jul-2022,BANKNIFTY,2831,-129,-4.358108108108108,10910,22.63,370.95
317,33700,07-Jul-2022,BANKNIFTY,3123,19,0.6121134020618557,9876,22.58,324.0
323,33800,07-Jul-2022,BANKNIFTY,3501,278,8.62550418864412,9049,22.46,283.4
329,33900,07-Jul-2022,BANKNIFTY,2039,91,4.671457905544147,4703,22.38,249.85
336,34000,07-Jul-2022,BANKNIFTY,16015,3239,25.352222917971197,47567,22.32,214.5
342,34100,07-Jul-2022,BANKNIFTY,2008,485,31.84504267892318,6740,22.25,186.15
353,34200,07-Jul-2022,BANKNIFTY,2853,1397,95.9478021978022,13188,22.23,159.95
355,34300,07-Jul-2022,BANKNIFTY,2408,1411,141.52457372116348,8255,22.16,138.0
361,34400,07-Jul-2022,BANKNIFTY,1955,1111,131.6350710900474,7117,22.16,116.1
366,34500,07-Jul-2022,BANKNIFTY,12037,4554,60.85794467459575,47122,22.15,99.2
380,34600,07-Jul-2022,BANKNIFTY,2798,1133,68.04804804804805,8708,22.15,86.2
383,34700,07-Jul-2022,BANKNIFTY,2282,861,60.59113300492611,6977,22.17,71.4
392,34800,07-Jul-2022,BANKNIFTY,2837,1618,132.73174733388024,8896,22.21,60.55
399,34900,07-Jul-2022,BANKNIFTY,1476,485,48.940464177598386,4318,22.3,50.4
407,35000,07-Jul-2022,BANKNIFTY,17806,4786,36.75883256528418,48444,22.41,42.95
414,35100,07-Jul-2022,BANKNIFTY,2296,225,10.864316755190728,7292,22.56,36.2
416,35200,07-Jul-2022,BANKNIFTY,1656,597,56.373937677053824,5339,22.72,31.5
427,35300,07-Jul-2022,BANKNIFTY,1080,345,46.93877551020408,3450,22.88,27.25
436,35400,07-Jul-2022,BANKNIFTY,1133,-62,-5.188284518828452,2209,23.17,23.2
437,35500,07-Jul-2022,BANKNIFTY,7323,425,6.161206146709191,20896,23.49,20.15
444,35600,07-Jul-2022,BANKNIFTY,756,-164,-17.82608695652174,2925,23.83,18.3
451,35700,07-Jul-2022,BANKNIFTY,711,230,47.817047817047815,2226,24.06,16.05
458,35800,07-Jul-2022,BANKNIFTY,792,246,45.05494505494506,2089,24.48,14.85
465,35900,07-Jul-2022,BANKNIFTY,651,78,13.612565445026178,977,24.84,12.95
479,36000,07-Jul-2022,BANKNIFTY,8838,3046,52.58977900552486,18658,25.19,11.3
488,36100,07-Jul-2022,BANKNIFTY,355,41,13.05732484076433,1114,25.68,10.8
494,36200,07-Jul-2022,BANKNIFTY,506,198,64.28571428571429,1200,26.08,10.05
496,36300,07-Jul-2022,BANKNIFTY,286,121,73.33333333333333,917,26.55,9.1
